event_key,county_fips5,county_name_x,state_name,planned_shelter,actual_shelter,shelter_pop,event,state_abbr,county_name_y,n_buildings,n_damaged,n_displaced_bldgs,n_severe,n_residential,n_res_displaced,avg_damage_pct,max_damage_pct,total_bldg_loss_usd,centroid_lat,centroid_lon,total_population,pct_elderly,median_household_income,total_housing_units,displaced_pop_estimate,tier1_shelter_estimate,damage_rate,severe_rate,displacement_rate,log_displaced_pop,log_n_buildings,log_bldg_loss,log_total_pop,damage_x_pop,tier2_shelter_estimate,tier3_p90,tier3_p95,tier3_p99
MILTON_2024,12021,Collier,FL,,14.0,14.0,MILTON_2024,FL,Collier,12732,12641,12392,10927,11859,11566,80.8474,100.0,2846060527.86,26.196971,-81.619127,380221,0.3282,82011,229814,29261.979999999996,213.15262098004519,0.9928526547282438,0.8582312284008796,0.9084197298146403,10.28407851491111,9.451952327573435,21.76920160443429,12.848510571644349,1038.7686735899592,62.67303658763598,57033.15,57033.15,57033.15
MILTON_2024,12027,DeSoto,FL,5.0,,5.0,MILTON_2024,FL,DeSoto,1491,1483,1468,1309,1397,1378,82.0342,100.0,253999590.02,27.180449,-81.902569,34258,0.2227,45000,15567,3486.3399999999997,25.395496430097033,0.994634473507713,0.8779342723004695,0.9242119382964453,8.156894546940986,7.307872780763706,19.352843214824034,10.441704582894031,856.5768820940456,25.15104164581218,5138.7,5138.7,5138.7
MILTON_2024,12049,Hardee,FL,4.0,,4.0,MILTON_2024,FL,Hardee,559,552,552,506,518,511,84.6315,100.0,90998702.44,27.503604,-81.835457,25528,0.157,44665,9837,1292.83,9.417343015805214,0.9874776386404294,0.9051878354203936,0.9141323792486583,7.165362090850721,6.327936783729195,18.326355816467533,10.147570339863993,858.8040992181996,26.8188168779789,2851.7292802539955,3829.2,3829.2
MILTON_2024,12057,Hillsborough,FL,726.0,,726.0,MILTON_2024,FL,Hillsborough,20201,19964,19947,17409,19327,19087,81.8645,100.0,3995671176.78,27.97401,-82.374154,1468560,0.1461,70612,606334,48290.10999999999,351.75895526942094,0.9882679075293302,0.8617890203455274,0.9448542151378645,10.785002764728903,9.91353688838913,22.108477406504043,14.199793567743452,1162.4590005265338,113.63044495382455,106518.50640353818,220284.0,220284.0
MILTON_2024,12071,Lee,FL,,108.0,108.0,MILTON_2024,FL,Lee,16002,14260,13070,10627,14361,11747,63.629,100.0,2499402099.61,26.597308,-81.896637,772902,0.2889,69368,419916,29719.909999999996,216.4883139073656,0.8911386076740407,0.6641044869391326,0.7340957380327459,10.29960611747465,9.680531483645991,21.63931738046131,13.557908834572745,862.6761812350292,49.113130919618634,65556.28934470388,115935.3,115935.3
MILTON_2024,12081,Manatee,FL,397.0,,397.0,MILTON_2024,FL,Manatee,8422,7584,6991,5675,8155,6757,68.8673,100.0,1584532746.67,27.489804,-82.525599,405069,0.282,71385,208358,17095.21,124.52639287239887,0.9004986938969366,0.6738304440750416,0.8023034908572786,9.746612080498647,9.038721338315364,21.183555404391935,12.911815170659823,889.2018489023812,52.80456451313242,37708.678564924165,60760.35,60760.35
MILTON_2024,12103,Pinellas,FL,403.0,,403.0,MILTON_2024,FL,Pinellas,4590,4517,4476,3517,4225,4128,75.6265,100.0,897839442.0,27.955031,-82.725376,959918,0.2556,66406,516276,10443.839999999998,76.07591383413683,0.9840958605664488,0.7662309368191721,0.8993464052287582,9.253863355539208,8.431853144249223,20.615501816294287,13.774604184884248,1041.7251033881485,101.85139306275774,23037.06158295204,59807.72320956667,143987.69999999998
MILTON_2024,12115,Sarasota,FL,432.0,,432.0,MILTON_2024,FL,Sarasota,22961,21383,19392,11010,21987,19036,52.2647,100.0,2868883385.0,27.160861,-82.429776,439392,0.3731,77213,254601,48161.079999999994,350.8190638921096,0.9312747702626192,0.479508732198075,0.8290579678585428,10.78232726841884,10.041595954653758,21.777188726901365,12.993149507991003,679.0830610902973,56.913637746846575,65908.8,65908.8,65908.8
FLORENCE_2018,37031,Carteret,NC,534.0,,534.0,FLORENCE_2018,NC,Carteret,3289,3061,1700,920,3144,1678,34.2788,100.0,157878248.44,34.7573,-76.711257,68353,0.2583,66965,51096,4245.339999999999,30.92426923781046,0.9306780176345394,0.27972027972027974,0.5101854667072059,8.35381271442239,8.098642843759418,18.877334720782578,11.132455362751363,381.6072108886814,34.64266411836317,9364.386951597267,10252.949999999999,10252.949999999999
FLORENCE_2018,37049,Craven,NC,781.0,,781.0,FLORENCE_2018,NC,Craven,3179,2881,1903,305,3001,1895,22.16,100.0,96288521.87,35.09481,-77.043866,101098,0.198,61676,47051,4794.349999999999,34.923414902056514,0.9062598301352627,0.09594212016357345,0.596099402327776,8.47540197735443,8.064636475774222,18.38285968866885,11.52385551376281,255.36863818498387,43.44515652556341,10575.395276088691,15164.699999999999,15164.699999999999
