event,county_fips5,state_abbr,county_name,n_buildings,n_damaged,n_displaced_bldgs,n_severe,n_residential,n_res_displaced,avg_damage_pct,max_damage_pct,total_bldg_loss_usd,centroid_lat,centroid_lon
HELENE_2024,12071,FL,Lee,41324,33255,27021,16264,38471,25651,43.4187,100.0,3.54276286476E9,26.539719,-81.947199
HELENE_2024,12073,FL,Leon,2042,2026,2026,1741,1885,1870,81.0923,100.0,3.0848039296E8,30.475109,-84.257193
HELENE_2024,12075,FL,Levy,3623,3285,3099,2369,3355,2968,67.0319,100.0,2.5339318637E8,29.156586,-82.839059
HELENE_2024,12077,FL,Liberty,208,208,208,181,194,194,84.2043,100.0,2.620356795E7,30.321542,-84.897198
HELENE_2024,12079,FL,Madison,71,71,71,60,68,68,85.162,100.0,7722109.85,30.376744,-83.625771
HELENE_2024,12081,FL,Manatee,29272,23749,21506,12331,28199,21153,46.2476,100.0,3.07971645639E9,27.496179,-82.585002
HELENE_2024,12083,FL,Marion,56,56,56,49,56,56,82.8839,100.0,6912629.43,29.057122,-82.461536
HELENE_2024,12085,FL,Martin,2756,2701,2678,2386,2487,2413,81.068,100.0,6.4350540345E8,27.128365,-80.241653
HELENE_2024,12086,FL,Miami-Dade,5934,5908,5899,4992,5358,5330,79.3001,100.0,1.89101892882E9,25.713577,-80.351308
HELENE_2024,12087,FL,Monroe,4422,3653,3208,1522,3213,2172,43.6929,100.0,5.5703090533E8,24.81193,-81.097853
HELENE_2024,12091,FL,Okaloosa,794,781,781,609,757,744,77.3627,100.0,1.5100614795E8,30.57532,-86.553395
HELENE_2024,12099,FL,Palm Beach,9902,9770,9758,8324,9393,9254,80.0676,100.0,2.47450273615E9,26.71733,-80.179902
HELENE_2024,12101,FL,Pasco,44022,39833,36172,19877,41433,35089,49.2956,100.0,7.31101726929E9,28.259987,-82.691267
HELENE_2024,12103,FL,Pinellas,93790,88024,79136,45363,88251,77234,48.1589,100.0,9.74246468956E9,27.887258,-82.720532
HELENE_2024,12111,FL,St. Lucie,4301,4236,4211,3659,3769,3683,78.0512,100.0,7.6925203801E8,27.349412,-80.370899
HELENE_2024,12113,FL,Santa Rosa,2044,2021,2018,1750,1962,1940,84.9746,100.0,3.7437602723E8,30.505669,-87.011376
HELENE_2024,12115,FL,Sarasota,27540,25553,23501,14468,26420,23095,53.3176,100.0,3.40060169081E9,27.173992,-82.437297
HELENE_2024,12121,FL,Suwannee,239,239,239,223,233,233,87.9833,100.0,2.36955918E7,30.014748,-82.962943
HELENE_2024,12123,FL,Taylor,2882,2586,2427,1856,2709,2367,65.954,100.0,1.886553038E8,29.78697,-83.494997
HELENE_2024,12129,FL,Wakulla,2483,1885,1631,1126,2261,1553,47.3232,100.0,1.6256736863E8,30.073684,-84.353966
HELENE_2024,12131,FL,Walton,1882,1860,1860,1483,1796,1775,78.7192,100.0,2.678898262E8,30.451741,-86.171318
HELENE_2024,12133,FL,Washington,594,590,590,485,559,556,79.4285,100.0,5.695848303E7,30.663589,-85.642546
IAN_2022,12019,FL,Clay,1524,1504,1492,1336,1460,1437,83.0935,100.0,2.5385129987E8,30.072327,-81.794763
IAN_2022,12031,FL,Duval,5891,5810,5748,4992,5618,5487,79.3492,100.0,1.26424546404E9,30.293592,-81.611189
IAN_2022,12035,FL,Flagler,1126,922,798,643,1086,763,56.0568,100.0,1.4014947709E8,29.505673,-81.172562
IAN_2022,12069,FL,Lake,349,320,220,151,343,220,41.7808,100.0,1.093870223E7,29.161563,-81.528622
IAN_2022,12089,FL,Nassau,1023,980,943,802,972,903,77.0982,100.0,1.396354815E8,30.596713,-81.67556
IAN_2022,12107,FL,Putnam,965,930,854,698,909,804,71.8876,100.0,8.675918269E7,29.639024,-81.705423
IAN_2022,12109,FL,St. Johns,4091,4015,3916,3099,3969,3810,76.2169,100.0,8.8682702468E8,30.005298,-81.423748
IAN_2022,12127,FL,Volusia,2278,2240,1693,1026,2038,1581,48.2456,100.0,2.9027854749E8,29.152112,-81.039131
IAN_2022,37013,NC,Beaufort,4313,3412,2652,1612,3960,2542,42.4958,100.0,2.9221746091E8,35.497656,-76.837047
IAN_2022,37015,NC,Bertie,503,495,494,408,448,440,80.4881,100.0,6.205011659E7,36.020421,-76.936871
IAN_2022,37017,NC,Bladen,137,136,136,100,130,130,76.0328,100.0,1.57604361E7,34.476211,-78.380197
IAN_2022,37019,NC,Brunswick,6625,3508,3286,2440,6489,3199,38.3211,100.0,4.7114973752E8,33.961878,-78.286118
IAN_2022,37029,NC,Camden,404,391,369,332,380,349,81.401,100.0,5.995313638E7,36.345295,-76.182306
IAN_2022,37031,NC,Carteret,2550,2433,1917,1387,2448,1842,58.2633,100.0,2.3739557458E8,34.748145,-76.760857
IAN_2022,37041,NC,Chowan,468,451,441,376,444,420,81.1485,100.0,5.416777697E7,36.123084,-76.62597
IAN_2022,37047,NC,Columbus,695,693,693,614,643,641,84.2187,100.0,8.410678156E7,34.237319,-78.677915
IAN_2022,37049,NC,Craven,2391,2243,1913,1618,2266,1814,66.5832,100.0,2.3765794956E8,35.1131,-77.06193
IAN_2022,37053,NC,Currituck,1105,1084,1076,777,1030,1004,77.8602,100.0,1.7690614095E8,36.367414,-75.971636
